,Titles,Ratings,Cast,Genre
4,Thick as Thieves,59.6,"Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,David Lind,Christian Stokes,Joseph Poliquin","Horror,Mystery"
5,EXmas,69.0,"Sylvester Stallone,Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Iko Uwais,Andy García,Tony Jaa,Randy Couture","Action,Adventure,Thriller"
6,Black Panther: Wakanda Forever,71.68,"Shah Rukh Khan,Nayanthara,Vijay Sethupathi,Priyamani,Sanya Malhotra,Sunil Grover,Ridhi Dogra,Deepika Padukone,Lehar Khan","Action,Adventure,Thriller"
7,Hypnotic,64.32000000000001,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa","Action,Crime,Thriller"
8,Texas Chainsaw 3D,54.699999999999996,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,Esai Morales,Pom Klementieff,Henry Czerny","Action,Thriller"
9,Meteor Storm,45.739999999999995,"Joaquin Phoenix,Vanessa Kirby,Tahar Rahim,Ben Miles,John Hollingworth,Youssef Kerkour,Davide Tucci,Edouard Philipponnat,Paul Rhys","Drama,History,War"
10,57 Seconds,58.08,"Dominique Vandenberg,Louis Mandylor,Carmen Argenziano,Manny Alva,Brad Ashten,Robb Zbacnik,Jeremiah B. McQueen,Geordie Robinson,Alina Andrei",Action
11,Thriller Night,69.13,"Cho Jin-woong,Cha Seung-won,Han Hyo-joo,Oh Seung-hoon,Kim Dong-young,Lee Joo-young,Jung Jun-won,Kang Seung-hyun,Jo Han-chul","Crime,Action,Thriller"
12,Emmanuelle: Queen of Sados,60.22,"Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman,Gaia Scodellaro,Remo Girone,Andrea Scarduzio,Andrea Dodero,Daniele Perrone","Action,Thriller,Crime"
13,Avengers: Endgame,82.60999999999999,"Tom Blyth,Rachel Zegler,Josh Andrés Rivera,Peter Dinklage,Viola Davis,Hunter Schafer,Jason Schwartzman,Mackenzie Lansing,Ashley Liao","Action,Romance,Drama"
14,The Hunger Games: Mockingjay - Part 2,68.89999999999999,"Ben Foster,Billy Magnussen,Vicky Krieps,Peter Sarsgaard,Saro Emirze,Danny DeVito,John Leguizamo,Dar Zuzovsky,Laurent Papot","History,Action,Drama"
15,The Batman,77.00999999999999,"Jason Statham,Wu Jing,Shuya Sophia Cai,Page Kennedy,Sergio Peris-Mencheta,Sienna Guillory,Cliff Curtis,Skyler Samuels,Melissanthi Mahut","Action,Science Fiction,Horror"
16,Genie,79.58,"Xolo Mariduena,Bruna Marquezine,Susan Sarandon,Raoul Max Trujillo,Belissa Escobedo,Damián Alcázar,Elpidia Carrillo,George Lopez,Adriana Barraza","Action,Science Fiction,Adventure"
17,Interstellar,84.21,"Brie Larson,Teyonah Parris,Iman Vellani,Zawe Ashton,Samuel L. Jackson,Gary Lewis,Park Seo-jun,Zenobia Shroff,Mohan Kapur","Science Fiction,Adventure,Action"
18,When Evil Lurks,73.0,"Masako Nozawa,Hiromi Tsuru,Mayumi Tanaka,Kōhei Miyauchi,Hirotaka Suzuoki,Hiroko Emori,Toru Furuya,Mitsuko Horie,Banjo Ginga","Action,Animation"
19,The Hunger Games: Catching Fire,74.24000000000001,"Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,Fred Armisen,Sebastian Maniscalco,Charles Martinet","Animation,Family,Adventure,Fantasy,Comedy"
